Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
25.0,-3.0,0.3599999999999999,3.723038713670758,-0.019876698753191757,0.6,26.284640007828386
25.0,-3.0,0.3699999999999999,3.7264199713635096,-0.019821968378136656,0.6166666666666667,26.285902413034364
25.0,-3.0,0.37999999999999984,3.7299491934016795,-0.019775367574367042,0.6333333333333333,26.28677769375946
25.0,-3.0,0.38999999999999985,3.733629711938603,-0.019736445438371348,0.65,26.28736314383184
25.0,-3.0,0.3999999999999999,3.7374645727388907,-0.019704872259675245,0.6666666666666666,26.28766222515145
25.0,-3.0,0.4099999999999999,3.7414564174025493,-0.019680338360409756,0.6833333333333333,26.287695095367837
25.0,-3.0,0.4199999999999999,3.745607630196026,-0.01966257111163886,0.7,26.28747604386234
25.0,-3.0,0.4299999999999999,3.749920241756637,-0.019651286776790695,0.7166666666666667,26.28708785067232
25.0,-3.0,0.43999999999999984,3.7543962191823543,-0.019646276852846995,0.7333333333333333,26.286493491643967
25.0,-3.0,0.44999999999999984,3.759037284875954,-0.019647338100233704,0.75,26.28568961311788
25.0,-3.0,0.45999999999999985,3.7638450267971617,-0.019654296761494845,0.7666666666666667,26.284684210796627
25.0,-3.0,0.4699999999999998,3.7688206907452466,-0.019666926017545418,0.7833333333333333,26.28358042719867
25.0,-3.0,0.48,3.7739658156053353,-0.01968511694520251,0.8,26.282386700678103
25.0,-3.0,0.48999999999999994,3.7792822360751783,-0.01970880992438495,0.8166666666666667,26.28111954523098
25.0,-3.0,0.49999999999999994,3.7847727513732723,-0.019738060601042363,0.8333333333333334,26.27981600531905
25.0,-3.0,0.5099999999999999,3.7904426264030087,-0.019773194942346972,0.85,26.27849319550478
25.0,-3.0,0.5199999999999999,3.796302785776457,-0.01981511042484474,0.8666666666666667,26.27712636894131
25.0,-3.0,0.5299999999999999,3.802376691481131,-0.0198658831232071,0.8833333333333333,26.27571552562864
25.0,-3.0,0.5399999999999999,3.808715278623116,-0.019930078899453196,0.9,26.274286456840684
25.0,-3.0,0.5499999999999999,3.8154275086189404,-0.020017221911350358,0.9166666666666666,26.27287332366626
25.0,-3.0,0.5599999999999999,3.822735283211026,-0.020145175614313466,0.9333333333333333,26.271486827776073
25.0,-3.0,0.57,3.8310430956453105,-0.020340217845124332,0.95,26.27013971643038
